run,gen,filename,alpha,mu,vol
1,1,354_427_011110,576.793001,25.819000,718.816613
1,1,906_941_101111,690.536890,20.539000,821.028773
1,1,101_334_101111,608.507910,13.716000,703.082860
1,1,16_890_111000,1016.718372,20.697000,1205.320521
1,1,123_475_001001,784.977315,21.476000,969.956258
1,1,990_1216_001100,755.787950,21.103000,934.374527
1,1,835_961_010001,495.793367,14.464000,613.229775
1,1,205_751_000011,591.655394,13.793000,719.585178
1,1,385_885_100001,829.767570,12.139000,990.564663
1,1,821_1062_101101,916.855737,15.298000,1111.892383
1,1,52_1140_101100,807.429951,17.652000,1005.897244
1,1,330_879_001001,958.940739,8.237000,1137.993653
1,1,1171_1147_101000,1354.179911,5.569000,1603.477418
1,1,394_969_010110,919.497767,17.184000,1152.236528
1,1,1052_86_011010,685.344907,15.099000,865.973808
1,1,778_728_110011,766.972491,17.209000,978.823491
1,1,388_218_101100,1752.741418,7.002000,2126.390502
1,1,94_170_011000,800.922972,14.130000,1018.392802
1,1,797_1148_011011,937.147020,19.825000,1232.129937
1,1,30_570_011010,706.890774,1.535000,862.613938
1,1,633_62_100001,916.016150,16.396000,1187.192927
1,1,728_472_111010,756.076732,4.715000,936.191188
1,1,1173_703_001001,857.711360,8.049000,1072.201232
1,1,746_69_011011,779.773450,5.897000,972.220303
1,1,372_1123_010111,643.643628,17.694000,872.723326
1,1,437_883_011001,680.206833,9.125000,869.260003
1,1,260_363_000000,537.558397,10.486000,707.329990
1,1,1072_1061_010100,626.354387,13.273000,836.214691
1,1,909_231_001100,742.657680,2.836000,949.987212
1,1,477_65_111111,1093.169499,4.565000,1403.170067
1,1,743_410_000000,430.434908,10.377000,579.241519
1,1,935_873_110011,864.145600,7.756000,1154.999405
1,2,354_427_011110,576.793001,25.819000,718.816613
1,2,821_941_101101,690.516347,22.168000,814.233084
1,2,906_941_101111,690.536890,20.539000,821.028773
1,2,821_427_011110,571.405635,18.035000,687.208826
1,2,354_427_001100,655.694506,22.080000,816.371205
1,2,101_334_101111,608.507910,13.716000,703.082860
1,2,16_890_111000,1016.718372,20.697000,1205.320521
1,2,354_427_101101,577.003056,19.753000,718.340272
1,2,123_475_001001,784.977315,21.476000,969.956258
1,2,990_1216_001100,755.787950,21.103000,934.374527
1,2,990_885_100001,771.086719,19.541000,941.557919
1,2,16_82_111000,729.039445,21.109000,908.714632
1,2,1052_86_000000,704.722364,16.594000,851.150762
1,2,835_961_010001,495.793367,14.464000,613.229775
1,2,205_751_000011,591.655394,13.793000,719.585178
1,2,385_885_100001,829.767570,12.139000,990.564663
1,2,1052_1147_011010,751.815422,9.879000,889.746286
1,2,1052_475_110001,595.718834,11.884000,719.792116
1,2,821_1062_101101,916.855737,15.298000,1111.892383
1,2,1171_885_100001,1330.578346,13.264000,1579.074441
1,2,52_1140_101100,807.429951,17.652000,1005.897244
1,2,330_1147_111000,670.457058,3.715000,783.245435
1,2,416_885_011010,638.353531,11.192000,773.269265
1,2,52_1140_011011,868.590425,17.046000,1080.973143
1,2,330_879_001001,958.940739,8.237000,1137.993653
1,2,906_1140_101100,873.947886,10.947000,1050.708009
1,2,1093_961_001001,681.171599,14.651000,849.048737
1,2,354_751_011110,570.468867,9.313000,691.071192
1,2,1171_1147_101000,1354.179911,5.569000,1603.477418
1,2,394_969_010110,919.497767,17.184000,1152.236528
1,2,1052_86_011010,685.344907,15.099000,865.973808
1,2,778_728_110011,766.972491,17.209000,978.823491
1,3,385_1216_111101,715.217555,32.430000,870.956169
1,3,354_427_011110,576.793001,25.819000,718.816613
1,3,821_941_101110,690.682571,22.241000,814.058175
1,3,821_941_101101,690.516347,22.168000,814.233084
1,3,835_427_011110,452.133685,20.730000,560.149851
1,3,906_941_101111,690.536890,20.539000,821.028773
1,3,821_427_011110,571.405635,18.035000,687.208826
1,3,990_475_001001,690.318726,22.089000,852.783115
