run,gen,filename,alpha,mu,vol
1,1,1201_943_010110,765.746408,21.100000,902.772341
1,1,192_71_100011,778.375160,25.588000,962.821218
1,1,317_254_111100,997.369006,27.812000,1226.539529
1,1,1174_924_000111,830.091338,10.953000,950.815525
1,1,681_689_111001,829.405608,11.516000,981.133555
1,1,960_166_101010,786.397409,4.995000,911.918618
1,1,573_86_100000,671.014095,7.701000,801.125577
1,1,1125_258_111101,590.503590,8.154000,713.204081
1,1,1136_276_001111,874.490863,8.646000,1056.396970
1,1,775_889_000110,559.971636,7.249000,686.909776
1,1,57_986_000010,634.774628,5.538000,780.083315
1,1,699_767_011001,669.609425,6.385000,825.126064
1,1,849_228_000010,662.076925,7.823000,824.995119
1,1,1103_316_010011,487.803817,11.981000,631.874498
1,1,359_53_110010,584.387971,4.607000,723.438513
1,1,936_217_111100,725.625487,4.214000,896.808995
1,1,20_682_001101,647.265630,3.877000,806.525811
1,1,849_704_011100,610.128355,6.398000,770.033074
1,1,407_435_000111,884.785099,12.992000,1149.452479
1,1,880_660_101101,882.914655,9.983000,1131.916220
1,1,932_343_110110,622.512935,3.953000,785.162564
1,1,1190_466_010000,1268.556385,6.334000,1606.974636
1,1,933_763_111100,888.674568,5.509000,1126.912291
1,1,110_962_101101,854.204629,8.188000,1102.483066
1,1,137_797_111101,847.002195,10.008000,1111.554634
1,1,529_970_011001,707.131496,8.657000,930.035827
1,1,918_617_010000,636.553863,4.483000,827.819534
1,1,757_64_010111,603.344936,7.400000,800.242552
1,1,1144_1224_111110,1058.763699,4.317000,1411.382234
1,1,315_579_101111,685.043817,5.394000,930.592246
1,1,210_355_111011,300.043719,4.753000,413.117828
1,1,1024_957_001000,904.232455,5.874000,1239.312519
1,2,681_924_000111,856.260040,28.701000,1010.311683
1,2,1201_943_010110,765.746408,21.100000,902.772341
1,2,192_71_100011,778.375160,25.588000,962.821218
1,2,317_254_111100,997.369006,27.812000,1226.539529
1,2,57_986_111101,673.706828,21.745000,850.685828
1,2,1174_924_000111,830.091338,10.953000,950.815525
1,2,1136_1147_101010,932.460141,7.763000,1052.659822
1,2,317_86_100000,876.929003,20.872000,1091.950895
1,2,1125_258_111100,626.149269,14.001000,757.308144
