run,gen,filename,alpha,mu,vol
1,1,1102_1187_011010,914.243684,10.868000,1066.349617
1,1,924_301_110110,600.794854,15.612000,706.844172
1,1,130_957_000111,628.583522,7.996000,744.634844
1,1,362_16_100100,869.536651,13.798000,1032.204213
1,1,1102_35_101000,1158.517360,7.980000,1386.690680
1,1,776_1193_000101,717.452542,20.764000,863.684827
1,1,473_751_010101,534.403106,6.140000,647.893708
1,1,941_518_000001,634.667071,13.902000,771.779583
1,1,706_1111_110100,608.466894,15.258000,741.279526
1,1,1231_388_010100,1733.135941,4.330000,2111.622820
1,1,1048_550_100100,508.926707,6.134000,620.890964
1,1,250_103_011100,1135.712938,5.337000,1391.160380
1,1,737_580_100101,661.381339,13.011000,810.826577
1,1,242_1225_100111,776.762102,5.667000,959.117166
1,1,1170_1101_000001,1196.777893,7.951000,1478.701718
1,1,1051_268_010101,747.605951,7.294000,935.357343
1,1,730_169_101100,685.371859,14.163000,857.729987
1,1,891_465_001111,983.481377,14.610000,1232.006890
1,1,44_66_000011,601.178483,7.871000,753.836780
1,1,236_902_101001,967.582276,7.502000,1215.889410
1,1,1221_1028_000000,814.107575,9.944000,1027.015191
1,1,704_794_001100,616.965202,3.267000,779.467500
1,1,575_546_101010,812.902446,13.864000,1030.529159
1,1,144_867_101110,949.455638,17.264000,1203.896631
1,1,367_1042_101001,835.329989,20.294000,1062.324347
1,1,1185_1103_010101,576.608040,20.206000,734.632626
1,1,389_342_010100,587.146649,2.113000,754.116906
1,1,41_570_111011,362.707238,13.322000,469.205019
1,1,572_1005_110010,832.591166,13.705000,1080.001687
1,1,280_1163_000000,485.058981,5.594000,650.283404
1,1,845_969_100111,603.053176,18.321000,808.773849
1,1,144_987_111100,821.482264,7.663000,1108.270480
1,2,1102_444_000001,1027.643453,9.112000,1170.016833
1,2,1102_1187_011010,914.243684,10.868000,1066.349617
1,2,1022_1225_010101,631.832972,3.849000,742.903650
1,2,924_301_110110,600.794854,15.612000,706.844172
1,2,158_301_110110,493.480349,11.904000,583.121112
1,2,130_957_000111,628.583522,7.996000,744.634844
1,2,924_1208_110110,1004.349427,12.858000,1189.970922
1,2,362_16_100100,869.536651,13.798000,1032.204213
1,2,222_1225_100111,1077.136408,3.222000,1288.647147
1,2,1102_35_101000,1158.517360,7.980000,1386.690680
1,2,941_388_000001,1058.569661,24.911000,1271.470669
1,2,776_1193_000101,717.452542,20.764000,863.684827
1,2,473_751_010101,534.403106,6.140000,647.893708
1,2,1231_388_000111,2040.867502,17.352000,2476.490072
1,2,941_518_000001,634.667071,13.902000,771.779583
1,2,1170_1016_000001,1152.095249,15.231000,1401.590519
