run,gen,filename,alpha,mu,vol
1,1,263_882_100000,932.441644,41.274000,1056.141755
1,1,692_304_101110,577.892550,2.380000,678.196313
1,1,885_480_010011,733.665527,29.119000,863.545011
1,1,258_73_111110,1231.342172,6.927000,1460.938233
1,1,338_490_010001,698.582726,17.850000,830.543166
1,1,498_319_111000,810.757654,11.142000,966.363451
1,1,482_1139_010011,669.033335,6.492000,798.584095
1,1,73_430_110011,866.743245,21.002000,1035.464129
1,1,479_173_011101,699.113195,12.802000,838.082948
1,1,678_1135_111000,953.441693,8.393000,1144.694717
1,1,1164_441_000000,775.551174,14.228000,935.169976
1,1,111_392_010010,958.007578,18.277000,1157.396789
1,1,190_241_101111,722.454685,9.166000,879.076885
1,1,1203_1046_101011,602.925201,9.823000,735.397275
1,1,109_1222_110001,692.646122,1.542000,845.787807
1,1,120_879_011001,1342.135913,9.171000,1641.830848
1,1,562_359_101011,756.853326,10.327000,926.642896
1,1,127_824_000001,924.288338,20.085000,1132.840052
1,1,146_1128_111101,590.360911,23.673000,724.682604
1,1,788_403_101100,1215.654908,41.296000,1492.812167
1,1,996_794_101100,679.970493,8.693000,837.219030
1,1,89_1117_101110,804.766916,8.659000,993.307719
1,1,405_696_101111,967.026010,13.114000,1198.086413
1,1,75_869_111000,505.811179,8.284000,633.351615
1,1,830_239_010001,1019.365086,20.335000,1280.031321
1,1,852_105_010011,947.384324,16.211000,1207.169830
1,1,424_82_001001,551.097207,11.687000,703.588689
1,1,944_789_101010,656.338032,14.302000,843.634570
1,1,272_871_100010,604.538286,4.978000,782.648381
1,1,685_524_100001,706.722131,10.142000,922.492529
1,1,354_992_110100,712.537537,11.982000,932.649595
1,1,709_903_111010,808.008665,10.538000,1088.913131
1,2,263_882_100000,932.441644,41.274000,1056.141755
1,2,479_173_101000,773.360986,24.639000,887.635729
1,2,479_879_011001,1308.684163,8.205000,1515.700411
1,2,190_392_010010,938.582667,19.963000,1089.326143
1,2,692_304_101110,577.892550,2.380000,678.196313
1,2,885_480_111000,733.940690,36.689000,863.409858
1,2,885_480_010011,733.665527,29.119000,863.545011
1,2,258_73_111110,1231.342172,6.927000,1460.938233
1,2,338_490_010001,698.582726,17.850000,830.543166
1,2,498_879_100001,1174.998603,9.682000,1400.179516
1,2,498_319_111000,810.757654,11.142000,966.363451
1,2,482_1139_010011,669.033335,6.492000,798.584095
1,2,73_430_110011,866.743245,21.002000,1035.464129
1,2,111_882_010010,782.857654,15.632000,935.231675
