ID,gfn2_polar(A^3),polar(A^3)
1-sp01,4.108204,3.609490230000002
3E5E-octa-1357-tetraene,14.152759327080002,19.1074940294
3-24,23.711922,23.421236435550004
pyrene,24.47653176387,27.143262800100004
benzo-a-anthracene,27.828350951175004,33.0771755308
benzo-e-pyrene,30.398736545955003,33.191500258400005
benzo-a-pyrene,30.400401700800003,35.1575151088
dibenzo-ai-phenazine,32.369547700350005,41.433133558499996
dibenzo-bi-phenazine,32.3703256716,44.656400331899995
63-96,38.381634999999996,43.02068243715
4-sp47,51.368375,146.43875091375
12-52_ABAB,55.963301,62.35671478275
1-44_AB3,63.163851,99.16891694819999
50-63_ABAB,63.916895,81.7577929341
5-sp80,67.97113399999999,135.1986771222
5-sp78,68.023048,138.27548525084998
46-47_AB3,77.74,229.0380345981
47-50_AB3,78.81630200000002,151.84539325935003
1130_1192_010111,81.94148661654,140.9344205706
791_558_000101,82.10207544196501,130.07048180085002
520_670_101100,85.41438969375,155.063362419
5-sp63,91.129226,121.72376310795
562_1145_011110,93.944275864155,128.2461688566
582_63_100011,98.54926092117005,188.19316585259998
399_1134_101011,100.90588950526501,200.52597954375
119_748_111001,108.136401425595,597.8264693890501
166_554_010111,109.070870261355,196.36976075625
590_631_011011,111.378727457325,180.38366372205002
43_276_101010,114.61535029296002,212.8291443801
944_115_101010,115.54894187352,269.3824677801001
1056_434_101010,122.276736625905,213.22884229875004
104_680_100010,124.335703481355,287.3102417604
1081_100_001010,132.88849801546502,287.1796107555
720_785_100011,135.87107559898502,428.0624303454
407_190_100100,138.33604445935498,148.2462626427
464_984_000101,141.14704885613997,211.5521868159
71_515_101010,143.693658612225,433.40833906875
669_1018_110111,145.76025492058503,148.9934588319
804_1084_000000,150.769764133515,253.45059608295003
154_515_001100,153.86812013938498,534.7160027127002
480_666_011111,157.04691896524503,170.78976968625
289_21_110111,161.18067394404,195.66502697880009
1107_198_010111,165.34040604970502,242.555668866
373_998_011000,172.412928754065,228.40127328015
337_515_101010,176.893687510065,320.3153297343
284_879_000111,177.13939498496998,458.83968724710013
520_515_111111,184.176024615,1339.6737002184002
496_979_000011,185.09489801680505,491.06023344810006
822_132_101101,185.54029707856503,226.1526800076
646_877_110000,190.26949910093998,308.701096227
257_977_100101,194.40166509198002,227.22198000390003
617_801_011011,197.12195789283,229.77572768325
1073_1156_000011,205.09976024801998,1281.29936247225
525_1167_001111,206.17470401823002,404.81423101620004
222_515_111100,208.85638692096,1205.4178264491002
559_837_000100,210.610525524795,263.51943193485005
410_525_011101,211.68050435658,314.44400442015
411_525_000000,212.32194506046002,230.3602567524
1075_462_001000,215.44739995365,289.6957890918
618_1178_011101,216.36145586110501,297.50129615475004
930_485_000100,218.00750565861003,394.70052030075004
713_618_010001,219.54402569884502,325.43366778945006
618_1167_111111,220.40328546063003,486.35952369660004
618_388_010001,224.33584284841496,353.93934051585006
377_114_011101,236.59018947017998,391.05964596960007
222_364_001000,238.16305677177,530.0505165357
114_674_000100,242.74247161792502,402.72612506235
114_344_000100,242.93434659421504,374.32817690355006
1175_67_010101,246.577641082785,420.32836623465005
410_658_001000,256.02913496461497,392.29034314050006
867_397_111011,259.18493295933,432.63586400040015
379_282_000100,260.776229288445,464.99712223184997
379_525_001000,276.04406251377003,415.77667131915
364_1073_110000,152.236,520.698
1073_690_001111,170.53400000000002,743.582
