run,gen,filename,alpha,mu,vol
1,1,1050_405_111011,636.622125,27.992000,811.113224
1,1,342_953_100111,627.031445,18.907000,756.108687
1,1,944_115_101010,779.761392,20.023000,997.330689
1,1,586_589_101101,451.984480,15.763000,628.323433
1,1,463_742_001111,653.550090,17.410000,836.049573
1,1,104_680_100010,839.057283,17.809000,1087.791206
1,1,1130_896_010111,758.733939,16.038000,931.753050
1,1,224_359_111110,793.128424,15.098000,974.752060
1,1,1234_434_010110,834.559325,15.076000,1029.673919
1,1,1125_749_000010,789.210753,14.165000,962.103454
1,1,995_560_100100,827.801100,13.621000,1100.296757
1,1,399_1134_101011,680.945369,12.013000,925.831472
1,1,1079_435_111000,698.326128,11.364000,887.247338
1,1,124_819_101000,863.738993,11.764000,1059.873001
1,1,23_111_000011,608.352182,9.835000,742.993841
1,1,1222_871_111010,787.260329,11.237000,1006.364588
1,1,1081_100_001010,896.774289,10.782000,1066.682330
1,1,734_49_110001,676.660400,9.374000,855.174943
1,1,27_560_100011,758.932953,9.404000,963.704131
1,1,464_984_000101,952.505644,10.229000,1238.288176
1,1,188_226_101111,946.779027,8.730000,1141.081923
1,1,981_461_100111,997.777608,7.002000,1171.253836
1,1,514_249_101110,679.930132,5.765000,866.234169
1,1,70_931_010011,905.395307,6.349000,1192.631597
1,1,954_105_100000,895.909516,5.413000,1159.798585
1,1,218_252_010010,663.258468,4.434000,825.205698
1,1,883_350_101101,511.804447,3.603000,664.028624
1,1,480_666_011111,1059.803077,4.472000,1204.420502
1,1,238_687_010000,436.278250,3.148000,558.529259
1,1,617_801_011011,1330.242318,5.207000,1685.975754
1,1,822_132_101101,1252.085549,4.171000,1538.720252
1,1,751_895_011011,752.165765,1.130000,982.034423
1,2,1050_405_111011,636.622125,27.992000,811.113224
1,2,342_742_100111,536.549664,18.806000,664.829558
1,2,342_953_100111,627.031445,18.907000,756.108687
1,2,1130_819_010111,744.426183,19.987000,868.407980
1,2,1130_1192_010111,552.967484,17.839000,705.936298
1,2,342_434_010110,692.586264,18.369000,825.645857
1,2,944_115_101010,779.761392,20.023000,997.330689
1,2,586_589_101101,451.984480,15.763000,628.323433
1,2,224_359_101011,754.021848,18.879000,921.936090
1,2,1157_871_100100,517.669705,16.311000,694.907089
1,2,399_1134_101010,697.561963,18.714000,924.120844
1,2,463_742_001111,653.550090,17.410000,836.049573
1,2,342_953_000011,609.244333,14.987000,731.162931
1,2,104_680_100010,839.057283,17.809000,1087.791206
1,2,1130_896_010111,758.733939,16.038000,931.753050
1,2,224_359_111110,793.128424,15.098000,974.752060
1,2,1234_434_010110,834.559325,15.076000,1029.673919
1,2,1125_749_000010,789.210753,14.165000,962.103454
1,2,167_742_101011,633.358955,12.570000,790.228916
1,2,995_560_100100,827.801100,13.621000,1100.296757
1,2,399_1134_101011,680.945369,12.013000,925.831472
1,2,1079_435_111000,698.326128,11.364000,887.247338
1,2,124_819_101000,863.738993,11.764000,1059.873001
1,2,23_111_000011,608.352182,9.835000,742.993841
1,2,1222_871_111010,787.260329,11.237000,1006.364588
1,2,1079_739_010110,648.208508,8.324000,817.427051
1,2,1125_396_101101,863.410728,8.981000,1097.893187
1,2,586_589_111110,486.119883,6.991000,675.714223
1,2,838_359_111110,908.611244,8.388000,1128.523480
1,2,1050_405_000100,612.286494,5.787000,751.454098
1,2,463_742_011100,725.665988,6.205000,931.999882
1,2,23_111_110110,735.832108,3.775000,897.446873
1,3,1050_405_111011,636.622125,27.992000,811.113224
1,3,602_953_100111,599.051098,26.469000,738.895990
1,3,342_742_100111,536.549664,18.806000,664.829558
1,3,342_953_100111,627.031445,18.907000,756.108687
1,3,1130_742_010111,522.966884,17.551000,659.240671
1,3,1130_819_010111,744.426183,19.987000,868.407980
1,3,1130_1192_010111,552.967484,17.839000,705.936298
1,3,161_871_111110,763.350179,20.957000,978.743399
1,3,342_434_010110,692.586264,18.369000,825.645857
1,3,944_115_101010,779.761392,20.023000,997.330689
1,3,586_589_101101,451.984480,15.763000,628.323433
1,3,224_359_101011,754.021848,18.879000,921.936090
1,3,586_434_010110,558.670859,16.326000,692.827935
1,3,1157_871_100100,517.669705,16.311000,694.907089
1,3,399_1134_101010,697.561963,18.714000,924.120844
1,3,463_742_001111,653.550090,17.410000,836.049573
1,3,342_953_000011,609.244333,14.987000,731.162931
1,3,944_742_001111,585.875503,15.059000,743.647284
1,3,104_680_100010,839.057283,17.809000,1087.791206
1,3,1130_896_010111,758.733939,16.038000,931.753050
1,3,224_359_111110,793.128424,15.098000,974.752060
1,3,224_589_101101,544.378736,12.415000,717.742049
1,3,463_742_111000,725.724125,13.665000,931.947892
1,3,769_115_100100,1066.824233,16.084000,1331.809174
1,3,342_1033_010110,924.098030,14.409000,1103.226730
1,3,342_1166_100111,561.730177,9.665000,675.009392
1,3,463_896_001111,889.950035,11.609000,1108.124134
1,3,1130_819_100111,744.094009,8.183000,868.180336
1,3,1130_819_100100,646.588897,7.616000,779.542360
1,3,963_953_001111,594.611001,7.203000,758.725105
1,3,1050_1134_101010,629.581330,6.248000,840.300699
1,3,1050_405_100100,617.039928,5.192000,763.011613
1,4,602_819_010111,730.401294,33.092000,856.619189
1,4,1050_405_111011,636.622125,27.992000,811.113224
1,4,602_953_100111,599.051098,26.469000,738.895990
1,4,602_589_101101,515.049441,23.035000,699.814174
1,4,342_731_100111,469.426797,19.970000,603.133399
1,4,602_953_111011,622.078123,21.797000,759.469733
1,4,342_953_010111,627.449265,20.391000,755.691051
