run,gen,filename,alpha,mu,vol
1,1,439_1084_000000,534.653852,21.706000,665.202671
1,1,582_63_100011,665.042082,21.383000,873.338026
1,1,203_1120_111011,498.606960,16.612000,596.330537
1,1,530_949_010001,531.499831,16.250000,661.273931
1,1,720_785_100011,916.901681,19.860000,1134.404661
1,1,166_554_010111,736.045283,13.207000,845.751443
1,1,1067_877_111001,907.710272,14.165000,1078.526614
1,1,791_558_000101,554.051189,10.932000,655.229918
1,1,1056_434_101010,825.162713,12.849000,1019.802523
1,1,900_376_010100,644.257794,10.454000,761.514995
1,1,43_276_101010,773.461216,11.702000,960.206239
1,1,861_218_010000,686.119343,10.528000,824.825647
1,1,289_21_110111,1087.698984,12.646000,1247.197218
1,1,861_74_100001,695.395972,9.713000,856.586930
1,1,1011_233_001001,515.747379,8.870000,717.253102
1,1,441_851_000101,1565.111037,13.114000,1821.538733
1,1,745_769_100000,787.063095,9.379000,945.380476
1,1,970_1225_101100,722.092851,8.994000,909.847061
1,1,195_950_100010,730.771687,7.830000,903.704192
1,1,584_566_011100,430.535179,6.112000,547.431332
1,1,16_279_011001,687.619388,7.630000,883.142972
1,1,116_620_110000,905.126297,8.018000,1114.491862
1,1,373_998_011000,1163.497849,7.443000,1412.888903
1,1,462_885_101110,873.404202,5.966000,1056.843126
1,1,669_1018_110111,983.637041,6.232000,1362.599754
1,1,144_102_010101,668.657920,4.695000,842.319412
1,1,93_397_111101,1844.549980,7.299000,2200.977538
1,1,540_931_001010,789.212615,5.062000,1058.626599
1,1,410_977_100101,1769.634847,6.861000,2199.175578
1,1,462_88_000100,1116.270859,5.393000,1409.166642
1,1,454_817_110110,577.161749,2.214000,735.797987
1,1,815_25_111011,680.060759,2.409000,877.741214
1,2,439_1084_000000,534.653852,21.706000,665.202671
1,2,85_63_100011,664.876544,21.509000,873.150794
1,2,582_63_100011,665.042082,21.383000,873.338026
1,2,203_1120_111011,498.606960,16.612000,596.330537
1,2,530_949_010001,531.499831,16.250000,661.273931
1,2,720_785_100011,916.901681,19.860000,1134.404661
1,2,439_218_010000,536.620447,14.280000,668.847510
1,2,965_1120_111011,639.162616,12.438000,744.829237
1,2,1067_877_100100,872.557985,14.700000,1040.725129
1,2,166_554_010111,736.045283,13.207000,845.751443
1,2,900_276_010100,723.192375,13.405000,877.094476
1,2,1067_877_111001,907.710272,14.165000,1078.526614
1,2,791_558_000101,554.051189,10.932000,655.229918
1,2,791_1084_000000,634.681116,11.231000,755.803572
1,2,1056_434_101010,825.162713,12.849000,1019.802523
1,2,166_869_000000,751.024474,11.527000,849.699474
1,2,907_877_111001,885.760028,12.330000,1054.915104
1,2,900_376_010100,644.257794,10.454000,761.514995
1,2,43_276_101010,773.461216,11.702000,960.206239
1,2,861_218_010000,686.119343,10.528000,824.825647
1,2,900_376_101110,586.539768,9.538000,694.579383
1,2,289_21_110111,1087.698984,12.646000,1247.197218
1,2,441_71_000101,1537.242592,14.706000,1799.517098
1,2,861_74_100001,695.395972,9.713000,856.586930
1,2,1011_233_001001,515.747379,8.870000,717.253102
1,2,289_218_110111,549.309838,8.205000,691.195073
1,2,441_851_000101,1565.111037,13.114000,1821.538733
1,2,791_218_111110,561.925360,7.673000,705.754819
1,2,289_21_111011,1087.745275,9.975000,1247.276184
1,2,441_74_100001,1522.727405,9.747000,1787.384669
1,2,861_21_100001,873.457325,5.804000,1019.742685
1,2,802_785_010111,993.978769,4.551000,1222.789875
1,3,439_1084_000000,534.653852,21.706000,665.202671
1,3,849_63_100011,556.795839,21.578000,704.925072
1,3,85_63_100011,664.876544,21.509000,873.150794
1,3,582_63_100011,665.042082,21.383000,873.338026
1,3,203_1120_111011,498.606960,16.612000,596.330537
1,3,530_218_010000,524.680425,16.996000,664.039026
1,3,1195_877_100100,793.746540,19.792000,968.712985
1,3,530_949_010001,531.499831,16.250000,661.273931
1,3,1067_877_000000,837.242592,18.683000,1002.844623
1,3,720_785_100011,916.901681,19.860000,1134.404661
1,3,439_218_010000,536.620447,14.280000,668.847510
1,3,1067_877_000010,854.820148,17.010000,1021.743572
1,3,166_869_111011,682.948352,14.818000,840.498235
1,3,965_1120_111011,639.162616,12.438000,744.829237
1,3,1067_877_100100,872.557985,14.700000,1040.725129
1,3,166_554_010111,736.045283,13.207000,845.751443
1,3,900_276_010100,723.192375,13.405000,877.094476
1,3,1067_877_111001,907.710272,14.165000,1078.526614
1,3,791_558_000101,554.051189,10.932000,655.229918
1,3,530_1084_000000,520.155638,10.729000,659.332908
1,3,791_1084_000000,634.681116,11.231000,755.803572
1,3,1056_869_000000,876.430515,13.671000,1126.235580
1,3,1056_434_101010,825.162713,12.849000,1019.802523
1,3,166_869_000000,751.024474,11.527000,849.699474
1,3,85_1120_100011,676.617098,11.437000,865.230722
1,3,439_949_100100,541.229876,9.957000,664.864564
1,3,203_558_111110,420.491438,8.086000,490.778011
