run,gen,filename,alpha,mu,vol
1,1,119_748_111001,729.739187,46.555000,931.123804
1,1,520_670_101100,576.403750,37.388000,716.483769
1,1,562_1145_011110,633.966163,22.514000,805.527169
1,1,243_515_010011,840.536756,22.375000,973.138114
1,1,590_631_011011,751.619445,18.788000,908.221233
1,1,211_1145_010011,719.443072,18.071000,911.112500
1,1,705_1234_111001,790.330777,18.353000,977.494359
1,1,851_454_001001,695.231523,16.166000,861.202332
1,1,1137_592_001100,620.142653,14.997000,760.007867
1,1,956_535_010100,651.433603,15.044000,767.697086
1,1,71_1070_101010,810.560430,18.343000,1133.903642
1,1,1163_819_110110,850.354409,16.130000,985.654827
1,1,984_215_101001,1138.668038,18.745000,1371.864302
1,1,580_1069_110111,698.606900,14.498000,829.684980
1,1,758_511_001011,685.880318,14.367000,818.739755
1,1,319_122_010000,754.948038,15.115000,906.872913
1,1,864_448_000001,479.883041,12.565000,637.989005
1,1,1072_418_110001,648.105189,14.164000,857.003909
1,1,1143_379_011110,1558.372571,21.212000,1930.420804
1,1,34_873_011001,871.684020,14.071000,1094.859354
1,1,57_121_010010,667.531718,11.759000,808.642436
1,1,624_564_110011,668.780758,11.675000,870.130541
1,1,158_105_000100,701.732277,9.863000,806.587779
1,1,407_190_100100,933.536083,11.847000,1222.545696
1,1,322_345_101111,595.505863,8.623000,775.707708
1,1,257_977_100101,1311.884908,12.486000,1643.789735
1,1,99_1018_011000,712.449160,9.014000,933.736910
1,1,1102_969_101010,790.632290,8.453000,939.359564
1,1,1091_1163_001000,834.058879,8.840000,1066.578265
1,1,901_17_110101,852.788249,8.311000,980.534080
1,1,976_9_011110,712.310411,7.772000,932.331563
1,1,683_683_011001,904.993441,4.408000,1132.854187
1,2,119_748_111001,729.739187,46.555000,931.123804
1,2,520_670_101100,576.403750,37.388000,716.483769
1,2,520_631_101100,696.333917,36.989000,853.322462
1,2,786_748_101010,691.435545,34.285000,882.768296
1,2,520_670_101010,576.056399,29.103000,716.370311
1,2,154_515_001100,1038.351521,31.001000,1284.489388
1,2,119_454_111001,520.780956,20.695000,657.026055
1,2,750_670_101100,651.856056,21.995000,767.105018
1,2,562_1145_011110,633.966163,22.514000,805.527169
1,2,71_515_101010,969.690985,25.585000,1168.072156
1,2,243_515_010011,840.536756,22.375000,973.138114
1,2,984_215_010000,1011.088622,22.809000,1277.573718
1,2,590_631_011011,751.619445,18.788000,908.221233
1,2,211_1145_010011,719.443072,18.071000,911.112500
1,2,705_1234_111001,790.330777,18.353000,977.494359
1,2,580_1069_010011,688.274298,15.814000,820.023573
1,2,851_454_001001,695.231523,16.166000,861.202332
1,2,1137_592_001100,620.142653,14.997000,760.007867
1,2,956_535_010100,651.433603,15.044000,767.697086
1,2,71_1070_101010,810.560430,18.343000,1133.903642
1,2,549_122_010000,740.313811,16.254000,953.901667
1,2,234_515_001001,844.986986,16.470000,1002.862012
1,2,1163_819_110110,850.354409,16.130000,985.654827
1,2,1137_1069_001100,656.957747,14.543000,799.695898
1,2,984_215_101001,1138.668038,18.745000,1371.864302
1,2,580_1069_110111,698.606900,14.498000,829.684980
1,2,758_511_001011,685.880318,14.367000,818.739755
1,2,319_122_010000,754.948038,15.115000,906.872913
1,2,851_511_001001,757.211095,14.920000,908.969008
1,2,319_825_010000,747.558175,12.075000,892.435559
1,2,562_1069_000111,679.626118,7.092000,823.092657
1,2,758_373_001011,1003.172998,6.448000,1230.116502
1,3,119_748_111001,729.739187,46.555000,931.123804
1,3,520_670_101100,576.403750,37.388000,716.483769
1,3,520_454_101100,544.236724,36.133000,692.716887
1,3,119_670_101100,549.515651,32.972000,673.387198
1,3,520_631_101100,696.333917,36.989000,853.322462
1,3,154_515_100011,1089.490041,45.479000,1324.982359
1,3,786_748_101010,691.435545,34.285000,882.768296
1,3,243_670_111011,565.696883,29.135000,684.920952
1,3,154_515_010011,1089.507026,39.673000,1324.768056
1,3,520_670_101010,576.056399,29.103000,716.370311
1,3,71_670_101100,644.050691,30.197000,804.440028
1,3,154_515_101010,1089.645501,37.741000,1324.927657
1,3,243_515_010110,840.199779,31.957000,979.333285
1,3,590_748_011011,758.303830,29.855000,969.272360
1,3,154_515_001100,1038.351521,31.001000,1284.489388
1,3,984_1234_111001,884.294223,27.527000,1125.939611
1,3,119_454_111001,520.780956,20.695000,657.026055
1,3,750_670_101100,651.856056,21.995000,767.105018
1,3,562_1145_011110,633.966163,22.514000,805.527169
1,3,154_454_011000,800.015873,24.465000,1026.228438
1,3,705_1234_101100,759.564243,23.044000,929.639635
1,3,71_515_101010,969.690985,25.585000,1168.072156
1,3,243_515_010011,840.536756,22.375000,973.138114
1,3,984_215_010000,1011.088622,22.809000,1277.573718
1,3,590_631_011011,751.619445,18.788000,908.221233
1,3,211_1145_010011,719.443072,18.071000,911.112500
1,3,705_1234_111001,790.330777,18.353000,977.494359
1,3,580_1069_010011,688.274298,15.814000,820.023573
1,3,580_670_010011,631.995776,15.010000,761.994093
1,3,154_515_100001,1038.234021,17.838000,1284.524230
1,3,473_515_001100,789.897121,11.313000,939.293479
1,3,569_454_101010,716.746786,6.648000,859.561374
1,4,520_515_101000,788.460653,58.691000,957.718982
1,4,119_748_111001,729.739187,46.555000,931.123804
1,4,520_670_101100,576.403750,37.388000,716.483769
1,4,520_454_101100,544.236724,36.133000,692.716887
1,4,243_515_111001,974.929907,44.548000,1128.833677
1,4,119_670_110100,549.633389,34.414000,673.452823
1,4,119_670_101100,549.515651,32.972000,673.387198
1,4,520_631_101100,696.333917,36.989000,853.322462
1,4,154_515_100011,1089.490041,45.479000,1324.982359
1,4,154_748_011011,872.567202,41.525000,1123.555480
1,4,990_748_101010,804.403385,37.486000,1012.126366
1,4,786_748_101010,691.435545,34.285000,882.768296
1,4,243_670_111011,565.696883,29.135000,684.920952
1,4,154_515_010011,1089.507026,39.673000,1324.768056
1,4,520_670_101010,576.056399,29.103000,716.370311
1,4,71_670_101100,644.050691,30.197000,804.440028
1,4,154_515_101010,1089.645501,37.741000,1324.927657
1,4,243_515_010110,840.199779,31.957000,979.333285
1,4,520_748_011110,747.422521,30.883000,959.888708
1,4,520_670_100110,576.194734,26.052000,716.509945
1,4,590_748_011011,758.303830,29.855000,969.272360
1,4,71_515_010110,970.195113,32.484000,1167.978742
1,4,154_1103_101100,617.544986,24.485000,799.328835
1,4,154_515_001100,1038.351521,31.001000,1284.489388
1,4,154_748_101010,888.513521,28.259000,1143.100610
1,4,984_1234_111001,884.294223,27.527000,1125.939611
1,4,154_670_101100,763.579940,21.409000,961.159630
1,4,154_670_101010,763.607396,18.399000,961.418243
1,4,520_670_000110,571.626039,13.085000,715.432343
1,4,154_515_010110,1089.512801,13.963000,1324.688196
1,4,379_670_011011,1060.663206,12.730000,1316.417028
1,4,337_515_101010,1193.735449,7.533000,1478.162243
1,5,520_515_101000,788.460653,58.691000,957.718982
1,5,110_515_101000,1009.406451,59.836000,1165.074549
1,5,119_748_111001,729.739187,46.555000,931.123804
1,5,520_748_101100,700.912376,42.849000,898.594115
1,5,520_670_101100,576.403750,37.388000,716.483769
1,5,990_748_101100,804.484643,43.994000,1012.259604
1,5,520_454_101100,544.236724,36.133000,692.716887
1,5,990_748_110001,804.463414,43.152000,1012.205673
1,5,243_515_111001,974.929907,44.548000,1128.833677
1,5,119_670_110100,549.633389,34.414000,673.452823
1,5,119_454_110100,517.643597,32.804000,649.715856
1,5,119_670_101100,549.515651,32.972000,673.387198
1,5,520_631_101100,696.333917,36.989000,853.322462
1,5,154_515_100011,1089.490041,45.479000,1324.982359
1,5,154_748_011011,872.567202,41.525000,1123.555480
1,5,71_454_101100,612.134608,33.081000,780.707090
1,5,990_748_101010,804.403385,37.486000,1012.126366
1,5,786_748_101010,691.435545,34.285000,882.768296
1,5,243_670_111011,565.696883,29.135000,684.920952
1,5,154_515_010011,1089.507026,39.673000,1324.768056
1,5,520_670_101010,576.056399,29.103000,716.370311
1,5,71_670_101100,644.050691,30.197000,804.440028
1,5,154_748_111001,872.672385,33.244000,1123.300003
1,5,790_748_101010,832.592048,29.715000,1057.749541
1,5,786_66_101000,774.924779,26.192000,933.825235
1,5,1151_670_101010,753.090914,24.054000,923.813639
1,5,1014_631_101100,796.035931,19.956000,958.576309
1,5,154_454_010010,799.994267,19.297000,1026.376008
1,5,786_748_001010,641.768257,16.413000,816.330556
1,5,520_748_100111,746.998909,15.514000,960.251252
1,5,154_670_100011,763.765922,14.945000,961.245320
1,5,942_670_101010,1699.232020,13.152000,2037.005162
1,6,520_515_101000,788.460653,58.691000,957.718982
1,6,110_515_101000,1009.406451,59.836000,1165.074549
1,6,990_515_101000,926.348801,54.646000,1109.857644
1,6,119_748_101100,674.318343,47.196000,855.210447
1,6,119_748_111001,729.739187,46.555000,931.123804
1,6,520_748_101100,700.912376,42.849000,898.594115
1,6,520_670_101100,576.403750,37.388000,716.483769
1,6,990_748_101100,804.484643,43.994000,1012.259604
1,6,520_454_101100,544.236724,36.133000,692.716887
1,6,990_748_110001,804.463414,43.152000,1012.205673
1,6,243_515_111001,974.929907,44.548000,1128.833677
1,6,119_670_110100,549.633389,34.414000,673.452823
1,6,243_748_111001,707.105427,39.054000,886.624070
1,6,520_515_110101,1014.578703,45.191000,1202.201786
1,6,119_454_110100,517.643597,32.804000,649.715856
1,6,119_670_101100,549.515651,32.972000,673.387198
1,6,520_631_101100,696.333917,36.989000,853.322462
1,6,154_515_100011,1089.490041,45.479000,1324.982359
1,6,154_748_011011,872.567202,41.525000,1123.555480
1,6,71_454_101100,612.134608,33.081000,780.707090
1,6,243_515_101001,840.480555,35.063000,973.251651
1,6,71_670_110100,644.030864,31.402000,804.314966
1,6,243_748_011011,706.265982,32.879000,893.452932
1,6,154_748_111001,872.672385,33.244000,1123.300003
1,6,990_515_101100,1005.460438,30.402000,1193.942999
1,6,243_670_110100,515.107859,20.813000,610.121192
1,6,650_454_101100,602.765805,22.607000,731.271986
1,6,243_515_011111,1108.723745,29.047000,1290.287966
1,6,119_1180_110100,655.317832,19.103000,857.342074
1,6,1229_670_101100,584.481058,13.995000,705.605310
1,6,110_515_000010,951.166877,16.132000,1095.144590
1,6,990_1171_111001,1327.417489,11.627000,1578.981874
1,7,520_515_101000,788.460653,58.691000,957.718982
1,7,110_515_101000,1009.406451,59.836000,1165.074549
1,7,520_454_110100,544.251108,44.748000,692.774995
1,7,990_515_101000,926.348801,54.646000,1109.857644
1,7,119_748_101100,674.318343,47.196000,855.210447
1,7,990_515_111001,1084.579434,57.362000,1278.054601
1,7,520_748_111001,747.299180,48.431000,960.026375
1,7,119_748_111001,729.739187,46.555000,931.123804
1,7,119_515_101000,752.677357,44.911000,900.538722
1,7,520_748_101100,700.912376,42.849000,898.594115
1,7,520_748_110001,700.996721,42.779000,898.205681
1,7,520_670_101100,576.403750,37.388000,716.483769
1,7,520_748_101000,654.878169,40.166000,836.885282
1,7,990_748_101100,804.484643,43.994000,1012.259604
1,7,520_454_101100,544.236724,36.133000,692.716887
1,7,990_748_110001,804.463414,43.152000,1012.205673
1,7,243_515_111001,974.929907,44.548000,1128.833677
1,7,119_670_110100,549.633389,34.414000,673.452823
1,7,243_748_111001,707.105427,39.054000,886.624070
1,7,520_515_110101,1014.578703,45.191000,1202.201786
1,7,119_454_110100,517.643597,32.804000,649.715856
1,7,119_670_101100,549.515651,32.972000,673.387198
1,7,990_748_101000,792.320132,39.408000,988.543077
1,7,520_670_101000,571.905501,32.454000,715.413214
1,7,85_748_111001,847.264870,39.697000,1101.317635
1,7,243_748_110001,639.991020,31.061000,787.689982
1,7,119_670_111001,563.340323,27.357000,688.638002
1,7,990_670_101100,679.637029,29.451000,830.293505
1,7,119_1165_101100,704.378637,29.572000,862.160389
1,7,225_748_111001,988.057770,32.137000,1289.184406
1,7,119_710_110100,504.159422,20.407000,639.072075
1,7,243_670_011001,515.020952,17.005000,610.080692
1,8,520_515_101000,788.460653,58.691000,957.718982
1,8,110_515_101100,1067.787320,65.719000,1235.436038
1,8,520_748_110000,655.294456,52.365000,836.455462
1,8,110_515_101000,1009.406451,59.836000,1165.074549
1,8,520_454_110100,544.251108,44.748000,692.774995
1,8,990_515_101000,926.348801,54.646000,1109.857644
1,8,119_748_101100,674.318343,47.196000,855.210447
1,8,990_515_111001,1084.579434,57.362000,1278.054601
1,8,520_748_111001,747.299180,48.431000,960.026375
1,8,119_748_111001,729.739187,46.555000,931.123804
1,8,520_961_101100,654.139864,43.473000,816.262251
1,8,119_515_101000,752.677357,44.911000,900.538722
1,8,520_748_101100,700.912376,42.849000,898.594115
1,8,520_748_110001,700.996721,42.779000,898.205681
1,8,119_748_110001,674.217681,40.999000,855.305426
1,8,520_670_101100,576.403750,37.388000,716.483769
1,8,520_748_101000,654.878169,40.166000,836.885282
1,8,990_748_101100,804.484643,43.994000,1012.259604
1,8,520_454_101100,544.236724,36.133000,692.716887
1,8,990_748_110001,804.463414,43.152000,1012.205673
1,8,520_670_111001,581.250691,34.309000,717.253549
1,8,990_515_110001,1005.347544,41.117000,1193.991770
1,8,110_748_101000,875.434348,34.340000,1044.304275
1,8,520_748_101001,700.402022,29.135000,898.679046
1,8,705_748_101100,754.092798,28.305000,934.219872
1,8,715_670_101100,551.547263,22.729000,656.394778
1,8,990_515_101100,1005.460438,30.402000,1193.942999
1,8,990_584_110001,532.483196,19.096000,657.446232
1,8,520_748_010110,700.627089,21.689000,898.495127
1,8,520_748_010000,608.990391,17.165000,775.069618
1,8,520_748_010011,700.447482,10.898000,898.689618
1,8,990_65_101000,868.774960,9.174000,1079.781414
1,9,520_515_101100,901.696439,68.426000,1079.801960
1,9,520_515_101000,788.460653,58.691000,957.718982
1,9,110_515_101100,1067.787320,65.719000,1235.436038
